Layer Thickness (μm),Infill Density (%),Nozzle Temperature (°C),Flexural Strength (MPa),Tensile Strength (MPa),Material
200,75.0,240,38.29,28.83,0
300,33.33,200,59.85,29.31,2
400,33.33,210,50.5,22.95,2
150,50.0,230,33.39,24.36,0
150,100.0,220,43.75,34.57,0
200,100.0,200,70.3,37.74,2
300,33.33,210,57.09,27.33,2
400,33.33,210,50.5,22.95,2
400,33.33,200,56.11,24.29,2
100,50.0,240,37.82,28.35,0
200,50.0,230,31.38,22.59,0
300,33.33,210,57.09,27.33,2
100,50.0,220,34.48,25.76,1
200,50.0,220,30.18,21.47,0
300,100.0,220,83.44,39.46,2
200,50.0,220,30.18,21.47,0
200,50.0,230,31.38,22.59,0
400,100.0,200,78.51,37.4,2
200,100.0,220,40.85,32.24,1
100,100.0,220,47.49,38.01,1
150,75.0,220,37.63,28.03,1
150,50.0,240,34.78,25.49,1
100,50.0,220,34.48,25.76,0
150,50.0,230,33.39,24.36,0
200,50.0,210,58.51,26.03,2
200,75.0,230,36.69,27.58,1
200,75.0,230,36.69,27.58,0
100,75.0,230,42.36,32.79,1
150,75.0,240,40.96,30.89,1
100,100.0,220,47.49,38.01,0
150,100.0,220,43.75,34.57,0
300,100.0,200,69.65,36.86,2
100,50.0,230,36.15,26.95,0
100,50.0,220,34.48,25.76,0
200,50.0,240,32.65,23.68,1
150,50.0,240,34.78,25.49,0
300,33.33,200,59.85,29.31,2
150,50.0,220,31.98,23.95,1
100,75.0,240,44.32,34.52,1
100,100.0,240,51.62,42.57,0
200,50.0,220,30.18,21.47,0
200,50.0,240,32.65,23.68,1
400,33.33,200,56.11,24.29,2
100,50.0,240,37.82,28.35,0
200,50.0,230,31.38,22.59,0
200,75.0,240,38.29,28.83,0
200,100.0,240,44.56,35.89,1
100,100.0,220,47.49,38.01,1
200,75.0,240,38.29,28.83,0
200,33.33,210,56.15,24.64,2
400,50.0,220,46.08,26.16,2
100,50.0,220,34.48,25.76,1
150,50.0,230,33.39,24.36,1
200,100.0,220,40.85,32.24,0
150,100.0,240,47.59,38.54,0
200,100.0,210,74.62,38.48,2
200,100.0,240,44.56,35.89,1
100,100.0,240,51.62,42.57,1
400,33.33,200,56.11,24.29,2
400,100.0,210,75.62,37.94,2
150,75.0,230,39.28,29.45,1
100,100.0,220,47.49,38.01,1
300,50.0,210,53.49,27.14,2
100,100.0,220,47.49,38.01,1
150,75.0,230,39.28,29.45,0
200,50.0,240,32.65,23.68,0
200,50.0,240,32.65,23.68,1
200,50.0,230,31.38,22.59,0
100,100.0,230,49.53,40.06,0
100,100.0,220,47.49,38.01,0
300,100.0,220,83.44,39.46,2
150,100.0,230,45.68,36.62,0
100,100.0,220,47.49,38.01,1
200,50.0,240,32.65,23.68,1
300,33.33,220,61.8,24.79,2
300,33.33,210,57.09,27.33,2
200,75.0,220,35.08,26.29,0
100,75.0,220,40.43,31.05,1
150,50.0,230,33.39,24.36,1
200,75.0,240,38.29,28.83,1
200,100.0,240,44.56,35.89,1
100,100.0,230,49.53,40.06,0
200,100.0,240,44.56,35.89,0
200,100.0,240,44.56,35.89,0
200,50.0,240,32.65,23.68,0
100,75.0,220,40.43,31.05,1
100,50.0,230,36.15,26.95,1
200,50.0,200,57.22,29.57,2
300,33.33,200,59.85,29.31,2
400,100.0,210,75.62,37.94,2
200,50.0,240,32.65,23.68,1
200,50.0,220,30.18,21.47,0
100,75.0,220,40.43,31.05,0
100,100.0,240,51.62,42.57,1
200,50.0,200,57.22,29.57,2
200,75.0,220,35.08,26.29,1
150,100.0,230,45.68,36.62,0
150,100.0,230,45.68,36.62,1
100,75.0,220,40.43,31.05,1
200,50.0,220,30.18,21.47,1
100,75.0,240,44.32,34.52,0
150,50.0,220,31.98,23.95,1
